504: not
2038: with
481: was
468: it
1994: a
954: their
441: shall
438: arms
422: which
421: are
419: but
418: thus
417: He
416: With
397: great
389: His
4997: of
386: Achilles
385: Then
4991: and
893: by
375: more
372: In
880: that
362: Jove
873: as
351: now
350: A
350: Hector
347: war
342: we
331: no
3899: to
314: oer
312: Troy
821: all
307: gods
819: thy
302: son
301: thou
301: through
297: one
807: is
290: when
284: who
280: god
1301: he
273: have
272: day
270: so
265: these
259: an
258: hand
257: chief
257: what
255: fight
254: So
253: plain
251: first
249: some
2809: in
240: me
240: your
238: eyes
235: Greece
227: Nor
225: Trojan
223: vain
222: Now
222: had
222: may
220: were
218: fate
218: yet
214: This
214: those
212: Greeks
212: field
212: then
210: For
210: What
210: said
208: force
208: heaven
207: them
205: O
205: has
203: Thus
203: thee
1226: from
200: king
197: where
2243: The
193: man
192: ground
190: race
189: rage
186: From
184: breast
182: before
182: round
181: As
181: let
181: like
177: each
177: its
689: I
175: if
174: can
172: Or
172: slain
171: every
169: THE
169: While
168: nor
168: she
168: than
168: will
168: you
167: If
167: foe
167: such
166: That
165: death
164: dead
164: fall
164: head
164: high
164: men
676: my
163: blood
163: whose
162: Grecian
162: skies
161: must
159: shore
158: soul
157: Homer
157: bold
156: Ajax
156: care
156: way
154: Not
154: brave
154: train
152: Patroclus
152: own
152: whom
150: On
149: spoke
148: heart
146: No
145: When
145: around
657: for
144: hero
143: Of
142: long
141: steeds
140: friend
139: sacred
138: fair
138: stood
137: arm
137: flies
1159: on
135: There
134: power
133: host
133: spear
133: us
132: fame
132: heroes
643: her
130: hands
129: Who
129: while
128: Where
128: there
127: fields
127: last
126: only
124: Thy
124: divine
124: fury
124: mighty
124: most
124: sire
124: still
123: once
122: earth
122: lay
121: Trojans
120: might
120: name
120: other
118: Ulysses
118: chiefs
118: p
116: along
116: lance
116: upon
115: any
115: prize
115: whole
114: been
114: car
114: main
114: shield
114: side
113: glory
113: sons
113: walls
112: above
112: ships
111: far
111: mind
111: powers
110: fierce
110: wound
109: art
109: dreadful
108: fire
107: dust
107: night
107: should
106: Such
106: air
106: fear
106: fell
106: same
105: stand
103: mortal
102: life
102: too
102: troops
102: words
102: ye
101: These
101: age
101: battle
101: coursers
101: voice
101: youth
100: goddess
100: rest
100: work
99: OF
99: Their
99: bear
99: proud
99: two
98: It
98: father
98: generous
98: led
98: see
98: warrior
97: By
97: left
97: lies
608: this
96: golden
96: here
95: Let
95: Yet
95: aid
95: gave
95: part
95: would
94: fly
93: could
93: into
93: light
93: many
93: old
92: away
92: found
91: At
90: Atrides
90: came
90: hear
90: trembling
89: immortal
89: sight
600: they
88: chariot
88: flight
88: rise
88: stands
88: wall
87: They
87: length
87: strong
87: warriors
86: Till
86: deep
86: javelin
85: beneath
