3064: his
499: are
499: which
495: were
491: when
2025: on
485: what
1505: him
8160: of
469: says
456: your
959: or
447: if
441: but
436: old
432: down
429: over
428: then
419: this
415: Stephen
414: no
412: too
922: me
408: What
395: man
381: now
381: see
373: after
373: its
368: who
2415: that
2415: with
876: be
363: O
363: do
362: would
873: out
357: off
355: back
353: time
1375: is
13660: the
335: did
328: two
326: into
323: She
2880: he
319: eyes
316: will
313: know
312: other
300: hand
812: she
1834: for
809: up
295: we
293: could
800: not
288: more
288: some
286: those
284: You
279: BLOOM
279: street
789: had
270: way
269: has
781: they
268: little
267: His
4873: to
258: But
258: In
5888: a
250: us
242: good
241: They
240: No
239: say
238: our
237: through
235: again
235: day
231: face
229: get
228: first
226: round
224: It
224: THE
220: long
220: only
217: here
215: night
214: himself
214: right
214: under
214: where
213: any
213: name
212: never
209: head
1232: at
206: go
717: Mr
204: before
203: been
715: my
202: That
202: sir
201: God
201: Im
199: Yes
199: put
1223: The
198: very
196: thing
194: J
193: came
191: going
191: just
189: can
187: John
186: asked
185: well
1208: by
182: life
181: away
180: All
179: went
178: come
1201: said
177: made
177: young
174: Dedalus
173: because
171: being
170: than
170: woman
680: their
166: Ill
166: dont
166: hat
165: To
164: Mrs
164: last
163: left
163: much
161: house
161: must
161: yes
160: make
159: ever
671: like
158: voice
670: A
157: course
668: them
156: always
156: though
155: saw
154: something
153: got
153: look
152: same
151: Then
151: am
151: own
151: white
1686: her
150: might
149: hands
148: Mulligan
145: world
142: With
142: poor
142: told
141: new
141: without
139: behind
139: took
138: How
138: father
138: how
649: have
137: We
137: door
137: let
137: tell
136: Joe
135: bit
134: men
133: Father
133: think
133: turned
131: fellow
131: place
131: years
1666: you
1154: all
130: most
130: still
130: till
130: upon
129: want
1153: He
128: love
639: Bloom
2687: I
126: between
126: black
125: against
125: three
124: every
124: give
124: such
124: wife
123: heard
122: For
122: My
122: hear
120: Who
120: gave
119: dark
119: towards
118: take
118: water
117: S
117: hair
116: There
116: Why
116: eye
116: mouth
115: Irish
115: home
114: Dublin
114: If
114: morning
114: once
113: air
113: along
113: coming
112: Not
112: word
112: words
111: read
4719: in
110: Well
110: dead
110: even
110: having
110: high
110: things
110: thought
109: another
108: heart
108: while
106: half
106: looked
105: Martin
105: hes
105: knew
104: So
103: light
103: side
102: Buck
102: bed
102: big
102: bloody
102: great
102: money
102: near
101: didnt
101: looking
101: work
612: one
100: Her
100: call
100: full
99: kind
99: mother
99: open
98: Thats
98: Where
98: past
97: Lenehan
97: does
96: passed
96: son
2144: it
95: better
95: suppose
95: these
93: Come
93: both
93: thats
92: On
92: red
1115: as
90: citizen
90: far
90: feel
90: sea
90: stood
89: Hes
89: One
89: STEPHEN
89: best
89: days
88: Do
88: Its
88: called
88: each
88: paper
88: women
87: corner
86: anything
86: lips
86: sure
86: wouldnt
85: gentleman
84: moment
84: second
83: By
83: Miss
83: Project
83: lost
83: nothing
82: As
82: Ireland
82: brought
82: case
82: feet
82: should
593: an
81: Is
81: cried
81: land
80: four
79: Good
79: girl
78: book
78: death
77: arms
77: five
77: used
77: walked
589: there
76: ZOE
76: times
76: why
75: Henry
75: bad
75: blue
75: boy
75: few
75: gold
75: gone
75: may
74: Lord
74: Stephens
74: done
74: green
74: letter
74: mind
74: seen
74: table
73: C
73: From
73: forward
73: lord
73: many
73: pocket
73: sun
72: mean
71: Cunningham
71: Leopold
